"","name","critical","energy_consumption","time","memory_usage","cpu_usage"
"33","cbdvapejuice",FALSE,53.34336,3213,2472078.66666667,27
"34","cbdvapejuice",FALSE,52.230528,3215,2482979.27272727,27
"35","cbdvapejuice",FALSE,59.11128,3213,2488505.45454545,30
"36","cbdvapejuice",FALSE,116.714268,3521,2678239.88888889,5.7
"37","cbdvapejuice",FALSE,54.040392,3414,2577047.54285714,28
"38","cbdvapejuice",FALSE,59.662512,3665,2597798.94736842,31
"39","cbdvapejuice",FALSE,55.585764,3417,2557229.14285714,29
"40","cbdvapejuice",FALSE,55.93536,3866,2525197.2,28
"41","compresse",FALSE,46.231884,2411,2481660.8,26
"42","compresse",FALSE,50.49216,2862,2508849.46666667,29
"43","compresse",FALSE,48.934476,2311,2487412.83333333,30
"44","compresse",FALSE,50.722992,2565,2499991.25925926,27
"45","compresse",FALSE,54.600156,2813,2460558.62068966,30
"46","compresse",FALSE,51.591456,2510,2521686,30
"47","compresse",FALSE,49.098816,2713,2615859.14285714,30
"48","compresse",FALSE,49.587912,2612,2583675.25925926,29
"49","compresse",FALSE,50.201388,2512,2575493.23076923,29
"50","compresse",FALSE,41.17464,2311,2516175.5,18
"51","cottagelife",FALSE,61.402536,4418,2513785.33333333,29
"52","cottagelife",FALSE,61.603596,4719,2523845.41666667,28
"53","cottagelife",FALSE,66.037788,4625,2509624,29
"54","cottagelife",FALSE,63.662328,4424,2467476.8,29
"55","cottagelife",FALSE,62.296128,4720,2490603.16666667,28
"56","cottagelife",FALSE,65.879424,4219,2639058.3255814,29
"57","cottagelife",FALSE,60.780168,4621,2625676.76595745,29
"58","cottagelife",FALSE,61.246512,4471,2621290.26086957,28
"59","cottagelife",FALSE,63.503964,4274,2592694.90909091,30
"60","cottagelife",FALSE,64.535292,4123,2556612.76190476,32
"61","adidasnmd",TRUE,57.751344,4024,2477390.63414634,29
"62","adidasnmd",TRUE,59.0976,4424,2459263.37777778,28
"63","adidasnmd",TRUE,59.6331,3819,2535301.74358974,30
"64","adidasnmd",TRUE,59.266836,4517,2503906.52173913,27
"65","adidasnmd",TRUE,56.92032,3714,2539780.94736842,31
"66","adidasnmd",TRUE,60.653412,3615,2624889.62162162,31
"67","adidasnmd",TRUE,44.654904,5126,2614843.76923077,28
"68","adidasnmd",TRUE,137.95992,55887,2572786.53763441,23.9
"69","adidasnmd",TRUE,73.562904,22308,2538077.3632287,29
"70","adidasnmd",TRUE,66.78072,17645,2519050.30508475,26
"71","adriaticbasket",TRUE,58.800168,3815,2530255.48717949,31
"72","adriaticbasket",TRUE,60.241968,4119,2486667.80952381,30
"73","adriaticbasket",TRUE,55.2096,3315,2494584.47058824,28
"74","adriaticbasket",TRUE,61.878096,4520,2534160.43478261,29
"75","adriaticbasket",TRUE,56.7648,4068,2494417.33333333,27
"76","adriaticbasket",TRUE,56.97216,3816,2534572.61538462,27
"77","adriaticbasket",TRUE,56.377584,3514,2655037.11111111,28
"78","adriaticbasket",TRUE,56.051748,3920,2644067.2,27
"79","adriaticbasket",TRUE,54.949392,4976,2650688,26
"80","adriaticbasket",TRUE,56.622384,3818,2631482.15384615,27
"81","ammar",TRUE,58.436316,6529,2511111.93939394,27
"82","ammar",TRUE,54.8064,5225,2479530.79245283,27
"83","ammar",TRUE,62.109936,6226,2506724.19047619,31
"84","ammar",TRUE,61.878096,4927,2531767.12,30
"85","ammar",TRUE,65.644632,5523,2546649.92857143,33
"86","ammar",TRUE,76.342644,7435,2733961.49333333,30
"87","ammar",TRUE,58.56804,5777,2650537.01694915,28
"88","ammar",TRUE,57.486132,4121,2656363.04761905,30
"89","ammar",TRUE,61.603596,4821,2579878.28571429,30
"90","ammar",TRUE,59.228136,4828,2580418.12244898,27
"91","cbdvapejuice",TRUE,53.02782,3318,2485031.17647059,29
"92","cbdvapejuice",TRUE,60.653412,3720,2491070.73684211,30
"93","cbdvapejuice",TRUE,56.622384,3463,2513644.22222222,28
"94","cbdvapejuice",TRUE,59.774364,3614,2481956.86486486,29
"95","cbdvapejuice",TRUE,54.952308,3514,2491220,27
"96","cbdvapejuice",TRUE,55.2096,3267,2512212.23529412,20
"97","cbdvapejuice",TRUE,55.288224,3719,2623280.63157895,30
"98","cbdvapejuice",TRUE,54.911268,3417,2616552.45714286,29
"99","cbdvapejuice",TRUE,56.181708,3424,2538548.91428571,27
"100","cbdvapejuice",TRUE,59.0292,3462,2564401,30
"101","compresse",TRUE,50.993208,2510,2515410.61538462,30
"102","compresse",TRUE,48.44556,2311,2475322.83333333,31
"103","compresse",TRUE,50.244588,2412,2495240.64,29
"104","compresse",TRUE,50.676048,2612,2477695.11111111,29
"105","compresse",TRUE,53.05194,2511,2634320.15384615,30
"106","compresse",TRUE,50.834844,2811,2598179.17241379,30
"107","compresse",TRUE,51.63264,2963,2604572.12903226,27
"108","compresse",TRUE,51.177924,2610,2571282.37037037,29
"109","compresse",TRUE,49.622364,2512,2512720.76923077,30
"110","compresse",TRUE,51.4332,2665,2504764.14285714,28
"111","cottagelife",TRUE,66.297528,4921,2536603.92,29
"112","cottagelife",TRUE,67.146336,4418,2515733.51111111,28
"113","cottagelife",TRUE,64.295784,4826,2531102.36734694,27
"114","cottagelife",TRUE,62.4357,4118,2516444.47619048,29
"115","cottagelife",TRUE,65.087604,4321,2484660.18181818,22
"116","cottagelife",TRUE,63.510912,5020,2543247.29411765,29
"117","cottagelife",TRUE,64.731744,4768,2666438.93877551,29
"118","cottagelife",TRUE,64.06668,4368,2672842.4,29
"119","cottagelife",TRUE,65.245968,4430,2636207.82222222,29
"120","cottagelife",TRUE,66.1113,5123,2600656.07692308,30
"121","fusion",TRUE,74.633724,4826,2521961.46938776,30
"122","fusion",TRUE,66.220848,4424,2519635.46666667,30
"123","fusion",TRUE,64.962216,3919,2580994.5,30
"124","fusion",TRUE,67.779792,4075,2684376.85714286,30
"125","fusion",TRUE,67.169088,3821,2657366.76923077,29
"126","fusion",TRUE,64.85688,3868,2635150.1,28
"127","fusion",TRUE,69.469164,4519,2672805.13043478,31
"128","fusion",TRUE,64.415088,3921,2670890,30
"129","fusion",TRUE,76.648176,18987,2637397.6,24
"130","fusion",TRUE,65.413296,3769,2557221.43589744,29
"131","gildedserpent",TRUE,49.2012,3215,2527500.36363636,30
"132","gildedserpent",TRUE,52.25472,2812,2467835.31034483,29
"133","gildedserpent",TRUE,52.434504,2812,2503558.34482759,29
"134","gildedserpent",TRUE,55.96128,3113,2506101.625,29
"135","gildedserpent",TRUE,59.069772,3012,2716961.29032258,30
"136","gildedserpent",TRUE,55.80504,3212,2608404.36363636,31
"137","gildedserpent",TRUE,50.986944,3215,2613513.57575758,26
"138","gildedserpent",TRUE,54.318852,2912,2610884.66666667,29
"139","gildedserpent",TRUE,56.00016,3316,2553151.64705882,31
"140","gildedserpent",TRUE,50.334372,2914,2503975.86666667,26
"141","greasyfork",TRUE,48.400308,2411,2508216.16,27
"142","greasyfork",TRUE,45.7758,2308,2463080.5,27
"143","greasyfork",TRUE,47.5092,3014,2455209.80645161,27
"144","greasyfork",TRUE,46.242288,2114,2455557.81818182,29
"145","greasyfork",TRUE,44.022348,2062,2448373.09090909,29
"146","greasyfork",TRUE,46.18944,2207,2621209.04347826,30
"147","greasyfork",TRUE,49.68576,2209,2615238.60869565,30
"148","greasyfork",TRUE,46.96704,2211,2594412.52173913,29
"149","greasyfork",TRUE,44.675568,2062,2594212.36363636,28
"150","greasyfork",TRUE,49.09284,2312,2562302,30
"151","greentechmedia",TRUE,66.196152,4116,2484596.38095238,30
"152","greentechmedia",TRUE,66.297528,4420,2517945.77777778,29
"153","greentechmedia",TRUE,66.764412,4323,2478587.90909091,30
"154","greentechmedia",TRUE,69.812316,4726,2519188.58333333,30
"155","greentechmedia",TRUE,67.293396,4527,2633178.60869565,30
"156","greentechmedia",TRUE,69.581808,4481,2691798.69565217,29
"157","greentechmedia",TRUE,68.413248,4668,2625100.16666667,26
"158","greentechmedia",TRUE,63.481536,4221,2567216.18604651,30
"159","greentechmedia",TRUE,67.308984,4519,2547798.34782609,30
"160","greentechmedia",TRUE,62.078688,4020,2531312.3902439,27
"161","hagley",TRUE,63.489888,4231,2588158.23255814,29
"162","hagley",TRUE,66.266856,4824,2551011.26530612,26
"163","hagley",TRUE,68.88834,4319,2517436.54545455,30
"164","hagley",TRUE,63.588564,3922,2473353.6,26
"165","hagley",TRUE,64.6902,4121,2524673.23809524,27
"166","hagley",TRUE,73.148184,4423,2657530.93333333,23
"167","hagley",TRUE,66.88908,3917,2653505,28
"168","hagley",TRUE,65.72106,4174,2648834.41860465,27
"169","hagley",TRUE,67.3047,3967,2606355.02439024,31
"170","hagley",TRUE,61.66998,4038,2577489.95121951,25
"171","hcss",TRUE,61.260696,4118,2508256.0952381,28
"172","hcss",TRUE,61.76196,4221,2500118.3255814,29
"173","hcss",TRUE,62.078688,3916,2486771.3,28
"174","hcss",TRUE,63.578232,4018,2534431.31707317,25
"175","hcss",TRUE,61.589592,4121,2481596.28571429,28
"176","hcss",TRUE,59.83362,4321,2629564.45454545,27
"177","hcss",TRUE,63.65988,3923,2656867.5,30
"178","hcss",TRUE,62.395416,3921,2567906.3,28
"179","hcss",TRUE,56.880792,3924,2533404.6,27
"180","hcss",TRUE,59.747328,3966,2515879.31707317,29
"181","holifestival",TRUE,64.318968,5074,2531816.07692308,27
"182","holifestival",TRUE,50.043024,2414,2509677.28,29
"183","holifestival",TRUE,46.988784,2320,2474154.83333333,29
"184","holifestival",TRUE,52.0038,2460,2455725.38461538,29
"185","holifestival",TRUE,48.79044,2511,2581646.30769231,28
"186","holifestival",TRUE,50.201388,2414,2586931.36,30
"187","holifestival",TRUE,48.934476,2514,2620332.61538462,29
"188","holifestival",TRUE,49.288428,2514,2593418.76923077,30
"189","holifestival",TRUE,50.518116,2613,2562238.51851852,29
"190","holifestival",TRUE,50.6493,2613,2504717.77777778,30
"191","iflyer",TRUE,57.57948,3219,2545002.06060606,26
"192","iflyer",TRUE,57.413448,3413,2476302.28571429,30
"193","iflyer",TRUE,55.889784,3321,2456554.94117647,26
"194","iflyer",TRUE,59.703228,3221,2456796.72727273,29
"195","iflyer",TRUE,57.486132,3216,2456723.87878788,28
"196","iflyer",TRUE,58.436316,3418,2496550.62857143,29
"197","iflyer",TRUE,62.237052,3314,2537778.47058824,31
"198","iflyer",TRUE,56.21922,3214,2616203.27272727,27
"199","iflyer",TRUE,58.52808,3415,2581149.02857143,29
"200","iflyer",TRUE,93.528,5634,2574355.71929825,10
